0.00,0.00000
0.02,-0.01370
0.04,-0.02740
0.05,-0.04871
0.07,-0.06240
0.09,-0.08219
0.10,-0.10502
0.12,-0.12329
0.14,-0.14612
0.15,-0.17199
0.17,-0.19482
0.19,-0.21613
0.20,-0.23896
0.22,-0.26027
0.24,-0.28614
0.25,-0.31050
0.27,-0.34246
0.29,-0.36377
0.30,-0.39725
0.32,-0.42161
0.34,-0.45357
0.35,-0.48249
0.37,-0.51597
0.39,-0.54641
0.40,-0.57381
0.42,-0.60577
0.44,-0.63165
0.45,-0.66361
0.47,-0.69557
0.49,-0.72754
0.50,-0.75341
0.52,-0.77776
0.54,-0.81429
0.55,-0.83408
0.57,-0.86300
0.59,-0.89953
0.60,-0.92845
0.62,-0.96345
0.64,-0.98933
0.65,-1.01520
0.67,-1.04869
0.69,-1.07761
0.70,-1.10957
0.72,-1.14305
0.74,-1.16741
0.75,-1.20089
0.77,-1.24046
0.79,-1.26330
0.80,-1.29678
0.82,-1.32265
0.84,-1.34701
0.85,-1.37897
0.87,-1.40789
0.89,-1.43833
0.90,-1.46877
0.92,-1.49617
0.94,-1.52356
0.95,-1.54335
0.97,-1.56770
0.99,-1.59053
1.00,-1.63315
1.02,-1.66207
1.04,-1.68794
